"filename", "language", "Markdown", "YAML", "XML", "Dart", "JSON", "C++", "Swift", "Properties", "Gradle", "comment", "blank", "total"
"/Users/kostya/FlutterDev/Apps/to_do_yandex/README.md", "Markdown", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 26
"/Users/kostya/FlutterDev/Apps/to_do_yandex/analysis_options.yaml", "YAML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 23, 4, 30
"/Users/kostya/FlutterDev/Apps/to_do_yandex/android/app/build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 54, 6, 13, 73
"/Users/kostya/FlutterDev/Apps/to_do_yandex/android/app/src/debug/AndroidManifest.xml", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 4, 1, 8
"/Users/kostya/FlutterDev/Apps/to_do_yandex/android/app/src/main/AndroidManifest.xml", "XML", 0, 0, 27, 0, 0, 0, 0, 0, 0, 6, 1, 34
"/Users/kostya/FlutterDev/Apps/to_do_yandex/android/app/src/main/res/drawable-v21/launch_background.xml", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 7, 2, 13
"/Users/kostya/FlutterDev/Apps/to_do_yandex/android/app/src/main/res/drawable/launch_background.xml", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 7, 2, 13
"/Users/kostya/FlutterDev/Apps/to_do_yandex/android/app/src/main/res/values-night/styles.xml", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 1, 19
"/Users/kostya/FlutterDev/Apps/to_do_yandex/android/app/src/main/res/values/styles.xml", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 1, 19
"/Users/kostya/FlutterDev/Apps/to_do_yandex/android/app/src/profile/AndroidManifest.xml", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 4, 1, 8
"/Users/kostya/FlutterDev/Apps/to_do_yandex/android/build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 5, 32
"/Users/kostya/FlutterDev/Apps/to_do_yandex/android/gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"/Users/kostya/FlutterDev/Apps/to_do_yandex/android/gradle/wrapper/gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"/Users/kostya/FlutterDev/Apps/to_do_yandex/android/settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 4, 12
"/Users/kostya/FlutterDev/Apps/to_do_yandex/assets/icons/done.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/kostya/FlutterDev/Apps/to_do_yandex/assets/icons/eye.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/kostya/FlutterDev/Apps/to_do_yandex/assets/icons/eye_cross.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/kostya/FlutterDev/Apps/to_do_yandex/assets/icons/high_priority.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/kostya/FlutterDev/Apps/to_do_yandex/assets/icons/info_outlined.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/kostya/FlutterDev/Apps/to_do_yandex/assets/icons/low_priority.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/kostya/FlutterDev/Apps/to_do_yandex/assets/icons/rubbish.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/kostya/FlutterDev/Apps/to_do_yandex/ios/Flutter/AppFrameworkInfo.plist", "XML", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 1, 27
"/Users/kostya/FlutterDev/Apps/to_do_yandex/ios/Runner.xcodeproj/project.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist", "XML", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/kostya/FlutterDev/Apps/to_do_yandex/ios/Runner.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist", "XML", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/kostya/FlutterDev/Apps/to_do_yandex/ios/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"/Users/kostya/FlutterDev/Apps/to_do_yandex/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 1, 123
"/Users/kostya/FlutterDev/Apps/to_do_yandex/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 1, 24
"/Users/kostya/FlutterDev/Apps/to_do_yandex/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md", "Markdown", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"/Users/kostya/FlutterDev/Apps/to_do_yandex/ios/Runner/Base.lproj/LaunchScreen.storyboard", "XML", 0, 0, 36, 0, 0, 0, 0, 0, 0, 1, 1, 38
"/Users/kostya/FlutterDev/Apps/to_do_yandex/ios/Runner/Base.lproj/Main.storyboard", "XML", 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 1, 27
"/Users/kostya/FlutterDev/Apps/to_do_yandex/ios/Runner/Info.plist", "XML", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 1, 52
"/Users/kostya/FlutterDev/Apps/to_do_yandex/ios/Runner/Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"/Users/kostya/FlutterDev/Apps/to_do_yandex/ios/RunnerTests/RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 7, 0, 0, 2, 4, 13
"/Users/kostya/FlutterDev/Apps/to_do_yandex/l10n.yaml", "YAML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/kostya/FlutterDev/Apps/to_do_yandex/l10n/app_en.arb", "JSON", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 1, 17
"/Users/kostya/FlutterDev/Apps/to_do_yandex/l10n/app_ru.arb", "JSON", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 16
"/Users/kostya/FlutterDev/Apps/to_do_yandex/lib/data/api/local_api_util.dart", "Dart", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 10, 47
"/Users/kostya/FlutterDev/Apps/to_do_yandex/lib/data/api/model/local/api_local_todo_task.dart", "Dart", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 4, 26
"/Users/kostya/FlutterDev/Apps/to_do_yandex/lib/data/api/model/local/api_local_todo_task.g.dart", "Dart", 0, 0, 0, 1508, 0, 0, 0, 0, 0, 6, 156, 1670
"/Users/kostya/FlutterDev/Apps/to_do_yandex/lib/data/api/model/remote/api_remote_todo_task.dart", "Dart", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 5, 52
"/Users/kostya/FlutterDev/Apps/to_do_yandex/lib/data/api/remote_api_util.dart", "Dart", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 12, 53
"/Users/kostya/FlutterDev/Apps/to_do_yandex/lib/data/api/service/local_todo_service.dart", "Dart", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 9, 71
"/Users/kostya/FlutterDev/Apps/to_do_yandex/lib/data/api/service/remote_todo_service.dart", "Dart", 0, 0, 0, 126, 0, 0, 0, 0, 0, 0, 10, 136
"/Users/kostya/FlutterDev/Apps/to_do_yandex/lib/data/mapper/local_todo_task_mapper.dart", "Dart", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 5, 49
"/Users/kostya/FlutterDev/Apps/to_do_yandex/lib/data/mapper/remote_todo_task_mapper.dart", "Dart", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 4, 34
"/Users/kostya/FlutterDev/Apps/to_do_yandex/lib/data/repository/local/todo_data_local_repository.dart", "Dart", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 9, 45
"/Users/kostya/FlutterDev/Apps/to_do_yandex/lib/data/repository/remote/todo_data_remote_repository.dart", "Dart", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 8, 39
"/Users/kostya/FlutterDev/Apps/to_do_yandex/lib/domain/bloc/todo_tasks_bloc/todo_tasks_bloc.dart", "Dart", 0, 0, 0, 165, 0, 0, 0, 0, 0, 12, 13, 190
"/Users/kostya/FlutterDev/Apps/to_do_yandex/lib/domain/bloc/todo_tasks_bloc/todo_tasks_event.dart", "Dart", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 8, 30
"/Users/kostya/FlutterDev/Apps/to_do_yandex/lib/domain/bloc/todo_tasks_bloc/todo_tasks_state.dart", "Dart", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 6, 17
"/Users/kostya/FlutterDev/Apps/to_do_yandex/lib/domain/models/todo_task.dart", "Dart", 0, 0, 0, 34, 0, 0, 0, 0, 0, 1, 8, 43
"/Users/kostya/FlutterDev/Apps/to_do_yandex/lib/domain/repository/local/to_do_tasks_local_repository.dart", "Dart", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/kostya/FlutterDev/Apps/to_do_yandex/lib/domain/repository/remote/to_do_tasks_remote_repository.dart", "Dart", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/kostya/FlutterDev/Apps/to_do_yandex/lib/internal/dependencies/local/api_local_module.dart", "Dart", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/kostya/FlutterDev/Apps/to_do_yandex/lib/internal/dependencies/remote/api_remote_module.dart", "Dart", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/kostya/FlutterDev/Apps/to_do_yandex/lib/internal/dependencies/repository_module.dart", "Dart", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 3, 19
"/Users/kostya/FlutterDev/Apps/to_do_yandex/lib/main.dart", "Dart", 0, 0, 0, 28, 0, 0, 0, 0, 0, 1, 3, 32
"/Users/kostya/FlutterDev/Apps/to_do_yandex/lib/presentation/screens/main_screen/main_screen.dart", "Dart", 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 4, 98
"/Users/kostya/FlutterDev/Apps/to_do_yandex/lib/presentation/screens/main_screen/widgets/add_task_line.dart", "Dart", 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 6, 90
"/Users/kostya/FlutterDev/Apps/to_do_yandex/lib/presentation/screens/main_screen/widgets/sliver_appbar_delegate.dart", "Dart", 0, 0, 0, 104, 0, 0, 0, 0, 0, 7, 5, 116
"/Users/kostya/FlutterDev/Apps/to_do_yandex/lib/presentation/screens/main_screen/widgets/swipe_container.dart", "Dart", 0, 0, 0, 95, 0, 0, 0, 0, 0, 3, 3, 101
"/Users/kostya/FlutterDev/Apps/to_do_yandex/lib/presentation/screens/main_screen/widgets/to_do_checkbox.dart", "Dart", 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 4, 74
"/Users/kostya/FlutterDev/Apps/to_do_yandex/lib/presentation/screens/main_screen/widgets/to_do_element.dart", "Dart", 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 2, 89
"/Users/kostya/FlutterDev/Apps/to_do_yandex/lib/presentation/screens/task_screen/task_screen.dart", "Dart", 0, 0, 0, 183, 0, 0, 0, 0, 0, 0, 9, 192
"/Users/kostya/FlutterDev/Apps/to_do_yandex/lib/presentation/screens/task_screen/widgets/custom_appbar.dart", "Dart", 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 2, 80
"/Users/kostya/FlutterDev/Apps/to_do_yandex/lib/presentation/screens/task_screen/widgets/custom_task_screen_drop_menu.dart", "Dart", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 3, 71
"/Users/kostya/FlutterDev/Apps/to_do_yandex/lib/presentation/screens/task_screen/widgets/delete_line.dart", "Dart", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 2, 50
"/Users/kostya/FlutterDev/Apps/to_do_yandex/lib/utils/constants.dart", "Dart", 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 9, 65
"/Users/kostya/FlutterDev/Apps/to_do_yandex/lib/utils/dark_theme.dart", "Dart", 0, 0, 0, 70, 0, 0, 0, 0, 0, 1, 3, 74
"/Users/kostya/FlutterDev/Apps/to_do_yandex/lib/utils/light_theme.dart", "Dart", 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 2, 72
"/Users/kostya/FlutterDev/Apps/to_do_yandex/pubspec.yaml", "YAML", 0, 34, 0, 0, 0, 0, 0, 0, 0, 58, 13, 105
"/Users/kostya/FlutterDev/Apps/to_do_yandex/test/widget_test.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 10, 7, 31
"Total", "-", 17, 40, 234, 3418, 177, 1, 19, 8, 89, 178, 428, 4609